instant,dteday,season,yr,mnth,hr,holiday,weekday,workingday,weathersit,temp,atemp,hum,windspeed,casual,registered,cnt
2077,2011-04-01,2,0,4,9,0,5,1,1,32.0,28.79,70.0,35.82,11,162,173
2078,2011-04-01,2,0,4,10,0,5,1,1,32.0,30.3,66.0,28.360000000000003,12,63,75
2079,2011-04-01,2,0,4,11,0,5,1,1,32.0,28.79,61.0,35.82,17,72,89
2080,2011-04-01,2,0,4,12,0,5,1,1,34.0,30.3,53.0,35.82,15,80,95
2081,2011-04-01,2,0,4,13,0,5,1,1,36.0,33.33,50.0,35.82,18,92,110
2082,2011-04-01,2,0,4,14,0,5,1,2,36.0,33.33,46.0,35.82,26,61,87
2083,2011-04-01,2,0,4,15,0,5,1,1,34.0,30.3,46.0,41.79,30,81,111
2084,2011-04-01,2,0,4,16,0,5,1,1,34.0,30.3,46.0,41.79,42,125,167
2085,2011-04-01,2,0,4,17,0,5,1,1,34.0,30.3,46.0,32.84,36,245,281
2086,2011-04-01,2,0,4,18,0,5,1,1,34.0,30.3,46.0,32.84,36,205,241
2087,2011-04-01,2,0,4,19,0,5,1,1,34.0,30.3,49.0,32.84,16,120,136
2088,2011-04-01,2,0,4,20,0,5,1,1,32.0,31.819999999999997,53.0,19.400000000000002,2,75,77
2089,2011-04-01,2,0,4,21,0,5,1,1,32.0,33.33,53.0,13.43,9,84,93
2090,2011-04-01,2,0,4,22,0,5,1,1,30.0,30.3,56.00000000000001,16.42,10,64,74
2091,2011-04-01,2,0,4,23,0,5,1,1,30.0,31.819999999999997,61.0,8.959999999999999,12,41,53
2092,2011-04-02,2,0,4,0,0,6,0,2,30.0,33.33,61.0,0.0,3,29,32
2093,2011-04-02,2,0,4,1,0,6,0,1,26.0,27.27,65.0,13.43,4,28,32
2094,2011-04-02,2,0,4,2,0,6,0,1,24.0,24.240000000000002,75.0,13.43,1,20,21
2095,2011-04-02,2,0,4,3,0,6,0,1,24.0,24.240000000000002,70.0,16.42,1,8,9
2096,2011-04-02,2,0,4,4,0,6,0,1,24.0,24.240000000000002,70.0,16.42,0,5,5
2097,2011-04-02,2,0,4,5,0,6,0,2,24.0,24.240000000000002,75.0,16.42,1,4,5
2098,2011-04-02,2,0,4,6,0,6,0,1,26.0,27.27,70.0,10.45,5,7,12
2099,2011-04-02,2,0,4,7,0,6,0,2,26.0,27.27,70.0,10.45,2,16,18
2100,2011-04-02,2,0,4,8,0,6,0,1,30.0,31.819999999999997,70.0,10.45,10,45,55
2101,2011-04-02,2,0,4,9,0,6,0,2,34.0,34.849999999999994,66.0,10.45,22,65,87
2102,2011-04-02,2,0,4,10,0,6,0,2,36.0,34.849999999999994,56.99999999999999,16.42,41,113,154
2103,2011-04-02,2,0,4,11,0,6,0,2,40.0,40.910000000000004,47.0,16.42,72,126,198
2104,2011-04-02,2,0,4,12,0,6,0,3,32.0,33.33,81.0,13.43,84,100,184
2105,2011-04-02,2,0,4,13,0,6,0,1,34.0,33.33,81.0,13.43,56,81,137
2106,2011-04-02,2,0,4,14,0,6,0,3,32.0,30.3,76.0,32.84,97,93,190
2107,2011-04-02,2,0,4,15,0,6,0,3,34.0,30.3,76.0,38.81,72,64,136
2108,2011-04-02,2,0,4,16,0,6,0,1,38.0,39.39,62.0,32.84,111,85,196
2109,2011-04-02,2,0,4,17,0,6,0,1,38.0,39.39,54.0,35.82,89,95,184
2110,2011-04-02,2,0,4,18,0,6,0,1,38.0,39.39,54.0,19.400000000000002,69,110,179
2111,2011-04-02,2,0,4,19,0,6,0,1,36.0,33.33,53.0,35.82,71,77,148
2112,2011-04-02,2,0,4,20,0,6,0,1,34.0,31.819999999999997,53.0,28.360000000000003,29,56,85
2113,2011-04-02,2,0,4,21,0,6,0,1,32.0,30.3,61.0,25.369999999999997,24,53,77
2114,2011-04-02,2,0,4,22,0,6,0,1,32.0,30.3,61.0,29.849999999999998,14,41,55
2115,2011-04-02,2,0,4,23,0,6,0,1,32.0,31.819999999999997,61.0,16.42,20,33,53
2116,2011-04-03,2,0,4,0,0,0,0,1,30.0,28.79,65.0,19.400000000000002,8,31,39
2117,2011-04-03,2,0,4,1,0,0,0,1,30.0,31.819999999999997,61.0,10.45,8,26,34
2118,2011-04-03,2,0,4,2,0,0,0,1,26.0,27.27,70.0,13.43,5,19,24
2119,2011-04-03,2,0,4,3,0,0,0,1,30.0,33.33,61.0,0.0,3,8,11
2120,2011-04-03,2,0,4,4,0,0,0,1,28.000000000000004,30.3,70.0,8.959999999999999,3,0,3
2121,2011-04-03,2,0,4,5,0,0,0,1,28.000000000000004,27.27,65.0,22.39,1,4,5
2122,2011-04-03,2,0,4,6,0,0,0,1,28.000000000000004,27.27,65.0,19.400000000000002,10,23,33
2123,2011-04-03,2,0,4,7,0,0,0,1,32.0,30.3,56.99999999999999,22.39,13,20,33
2124,2011-04-03,2,0,4,8,0,0,0,1,34.0,33.33,56.99999999999999,16.42,18,44,62
2125,2011-04-03,2,0,4,9,0,0,0,1,36.0,31.819999999999997,50.0,49.25,68,74,142
2126,2011-04-03,2,0,4,10,0,0,0,1,40.0,40.910000000000004,43.0,41.79,111,104,215
2127,2011-04-03,2,0,4,11,0,0,0,1,41.0,42.42,41.0,25.369999999999997,139,104,243
2128,2011-04-03,2,0,4,12,0,0,0,1,41.0,43.94,38.0,28.360000000000003,166,147,313
2129,2011-04-03,2,0,4,13,0,0,0,1,41.0,43.94,33.0,29.849999999999998,219,148,367
2130,2011-04-03,2,0,4,14,0,0,0,1,41.0,45.45,31.0,13.43,240,109,349
2131,2011-04-03,2,0,4,15,0,0,0,2,41.0,45.45,33.0,0.0,174,118,292
2132,2011-04-03,2,0,4,16,0,0,0,2,41.0,45.45,31.0,19.400000000000002,147,156,303
2133,2011-04-03,2,0,4,17,0,0,0,2,41.0,45.45,28.000000000000004,13.43,148,126,274
2134,2011-04-03,2,0,4,18,0,0,0,2,41.0,45.45,31.0,0.0,71,101,172
2135,2011-04-03,2,0,4,19,0,0,0,2,41.0,42.42,44.0,19.400000000000002,51,93,144
2136,2011-04-03,2,0,4,20,0,0,0,3,41.0,42.42,41.0,22.39,24,55,79
2137,2011-04-03,2,0,4,21,0,0,0,2,41.0,42.42,44.0,22.39,8,37,45
2138,2011-04-03,2,0,4,22,0,0,0,1,40.0,40.910000000000004,43.0,10.45,7,29,36
2139,2011-04-03,2,0,4,23,0,0,0,1,40.0,40.910000000000004,50.0,8.959999999999999,9,22,31
2140,2011-04-04,2,0,4,0,0,1,1,1,40.0,40.910000000000004,50.0,22.39,1,5,6
2141,2011-04-04,2,0,4,1,0,1,1,1,40.0,40.910000000000004,56.00000000000001,35.82,7,4,11
2142,2011-04-04,2,0,4,2,0,1,1,1,38.0,39.39,66.0,25.369999999999997,1,1,2
2143,2011-04-04,2,0,4,3,0,1,1,1,38.0,39.39,66.0,28.360000000000003,1,0,1
2144,2011-04-04,2,0,4,4,0,1,1,1,38.0,39.39,71.0,29.849999999999998,1,1,2
2145,2011-04-04,2,0,4,5,0,1,1,1,40.0,40.910000000000004,62.0,25.369999999999997,0,7,7
2146,2011-04-04,2,0,4,6,0,1,1,1,41.0,42.42,57.99999999999999,28.360000000000003,3,43,46
2147,2011-04-04,2,0,4,7,0,1,1,2,41.0,43.94,54.0,25.369999999999997,7,150,157
2148,2011-04-04,2,0,4,8,0,1,1,2,41.0,45.45,55.00000000000001,29.849999999999998,31,308,339
2149,2011-04-04,2,0,4,9,0,1,1,2,41.0,48.480000000000004,51.0,38.81,24,134,158
2150,2011-04-04,2,0,4,10,0,1,1,2,41.0,50.0,45.0,35.82,35,55,90
2151,2011-04-04,2,0,4,11,0,1,1,1,41.0,50.0,40.0,38.81,58,66,124
2152,2011-04-04,2,0,4,12,0,1,1,1,41.0,50.0,36.0,46.27,59,98,157
2153,2011-04-04,2,0,4,13,0,1,1,1,41.0,50.0,34.0,32.84,47,92,139
2154,2011-04-04,2,0,4,14,0,1,1,2,41.0,50.0,27.0,49.25,47,76,123
2155,2011-04-04,2,0,4,15,0,1,1,1,41.0,50.0,23.0,55.22,47,96,143
2156,2011-04-04,2,0,4,16,0,1,1,1,41.0,50.0,22.0,52.239999999999995,59,130,189
2157,2011-04-04,2,0,4,17,0,1,1,1,41.0,50.0,23.0,61.19,83,283,366
2158,2011-04-04,2,0,4,18,0,1,1,2,41.0,50.0,23.0,49.25,78,308,386
2159,2011-04-04,2,0,4,19,0,1,1,1,41.0,50.0,24.0,46.27,51,227,278
2160,2011-04-04,2,0,4,20,0,1,1,2,41.0,50.0,24.0,55.22,40,133,173
2161,2011-04-04,2,0,4,21,0,1,1,2,41.0,50.0,30.0,44.78,19,76,95
2162,2011-04-04,2,0,4,22,0,1,1,2,41.0,50.0,36.0,46.27,17,58,75
2163,2011-04-04,2,0,4,23,0,1,1,2,41.0,50.0,47.0,22.39,18,30,48
2164,2011-04-05,2,0,4,0,0,2,1,1,41.0,50.0,50.0,10.45,10,12,22
2165,2011-04-05,2,0,4,1,0,2,1,3,41.0,50.0,56.99999999999999,41.79,10,5,15
2166,2011-04-05,2,0,4,2,0,2,1,2,41.0,50.0,73.0,32.84,0,5,5
2167,2011-04-05,2,0,4,3,0,2,1,2,41.0,50.0,73.0,32.84,1,3,4
2168,2011-04-05,2,0,4,4,0,2,1,3,41.0,48.480000000000004,88.0,49.25,0,2,2
2169,2011-04-05,2,0,4,5,0,2,1,3,41.0,45.45,94.0,29.849999999999998,0,5,5
2170,2011-04-05,2,0,4,6,0,2,1,2,41.0,46.97,88.0,32.84,2,36,38
2171,2011-04-05,2,0,4,7,0,2,1,2,41.0,46.97,88.0,32.84,10,124,134
2172,2011-04-05,2,0,4,8,0,2,1,3,38.0,39.39,87.0,58.209999999999994,9,148,157
2173,2011-04-05,2,0,4,9,0,2,1,3,36.0,31.819999999999997,87.0,49.25,2,44,46
2174,2011-04-05,2,0,4,10,0,2,1,3,34.0,30.3,81.0,38.81,3,25,28
2175,2011-04-05,2,0,4,11,0,2,1,3,32.0,28.79,81.0,44.78,1,18,19
2176,2011-04-05,2,0,4,12,0,2,1,2,34.0,30.3,71.0,38.81,6,32,38
2177,2011-04-05,2,0,4,13,0,2,1,2,36.0,33.33,63.0,41.79,5,51,56
2178,2011-04-05,2,0,4,14,0,2,1,2,36.0,31.819999999999997,56.99999999999999,49.25,9,67,76
2179,2011-04-05,2,0,4,15,0,2,1,1,40.0,40.910000000000004,46.0,46.27,6,62,68
2180,2011-04-05,2,0,4,16,0,2,1,1,38.0,39.39,46.0,41.79,17,113,130
2181,2011-04-05,2,0,4,17,0,2,1,1,41.0,42.42,38.0,41.79,27,246,273
2182,2011-04-05,2,0,4,18,0,2,1,1,38.0,39.39,40.0,49.25,19,248,267
2183,2011-04-05,2,0,4,19,0,2,1,1,36.0,33.33,43.0,29.849999999999998,12,148,160
2184,2011-04-05,2,0,4,20,0,2,1,1,34.0,31.819999999999997,46.0,28.360000000000003,4,87,91
2185,2011-04-05,2,0,4,21,0,2,1,1,34.0,28.79,46.0,52.239999999999995,8,81,89
2186,2011-04-05,2,0,4,22,0,2,1,1,32.0,30.3,49.0,29.849999999999998,3,43,46
2187,2011-04-05,2,0,4,23,0,2,1,1,30.0,28.79,49.0,28.360000000000003,3,23,26
2188,2011-04-06,2,0,4,0,0,3,1,1,30.0,31.819999999999997,49.0,10.45,0,15,15
2189,2011-04-06,2,0,4,1,0,3,1,1,26.0,27.27,60.0,13.43,0,2,2
2190,2011-04-06,2,0,4,2,0,3,1,1,24.0,24.240000000000002,70.0,13.43,0,5,5
2191,2011-04-06,2,0,4,3,0,3,1,1,26.0,27.27,60.0,13.43,0,4,4
2192,2011-04-06,2,0,4,4,0,3,1,1,24.0,24.240000000000002,65.0,13.43,0,1,1
2193,2011-04-06,2,0,4,5,0,3,1,1,24.0,25.759999999999998,70.0,10.45,1,12,13
2194,2011-04-06,2,0,4,6,0,3,1,1,24.0,25.759999999999998,70.0,10.45,4,52,56
2195,2011-04-06,2,0,4,7,0,3,1,1,26.0,27.27,65.0,10.45,3,130,133
2196,2011-04-06,2,0,4,8,0,3,1,1,32.0,30.3,61.0,22.39,17,308,325
2197,2011-04-06,2,0,4,9,0,3,1,1,36.0,33.33,46.0,25.369999999999997,8,157,165
2198,2011-04-06,2,0,4,10,0,3,1,1,40.0,40.910000000000004,37.0,38.81,21,48,69
2199,2011-04-06,2,0,4,11,0,3,1,1,41.0,42.42,38.0,38.81,23,70,93
2200,2011-04-06,2,0,4,12,0,3,1,1,41.0,43.94,41.0,25.369999999999997,22,112,134
2201,2011-04-06,2,0,4,13,0,3,1,1,41.0,45.45,38.0,49.25,29,83,112
2202,2011-04-06,2,0,4,14,0,3,1,1,41.0,48.480000000000004,34.0,41.79,35,80,115
2203,2011-04-06,2,0,4,15,0,3,1,1,41.0,50.0,32.0,32.84,34,83,117
2204,2011-04-06,2,0,4,16,0,3,1,1,41.0,50.0,28.000000000000004,41.79,27,142,169
2205,2011-04-06,2,0,4,17,0,3,1,1,41.0,50.0,32.0,44.78,53,303,356
2206,2011-04-06,2,0,4,18,0,3,1,1,41.0,50.0,28.999999999999996,35.82,43,282,325
2207,2011-04-06,2,0,4,19,0,3,1,1,41.0,48.480000000000004,31.0,29.849999999999998,36,196,232
2208,2011-04-06,2,0,4,20,0,3,1,1,41.0,45.45,51.0,22.39,15,126,141
2209,2011-04-06,2,0,4,21,0,3,1,1,41.0,45.45,41.0,28.360000000000003,18,84,102
2210,2011-04-06,2,0,4,22,0,3,1,1,41.0,45.45,41.0,28.360000000000003,13,71,84
2211,2011-04-06,2,0,4,23,0,3,1,1,41.0,45.45,41.0,29.849999999999998,11,29,40
2212,2011-04-07,2,0,4,0,0,4,1,1,41.0,45.45,41.0,28.360000000000003,5,15,20
2213,2011-04-07,2,0,4,1,0,4,1,1,41.0,42.42,47.0,13.43,2,11,13
2214,2011-04-07,2,0,4,2,0,4,1,1,41.0,42.42,54.0,0.0,0,7,7
2215,2011-04-07,2,0,4,3,0,4,1,1,36.0,34.849999999999994,66.0,19.400000000000002,0,3,3
2216,2011-04-07,2,0,4,4,0,4,1,1,34.0,33.33,76.0,19.400000000000002,0,1,1
2217,2011-04-07,2,0,4,5,0,4,1,1,34.0,31.819999999999997,76.0,22.39,0,6,6
2218,2011-04-07,2,0,4,6,0,4,1,1,32.0,30.3,81.0,25.369999999999997,5,59,64
2219,2011-04-07,2,0,4,7,0,4,1,2,34.0,33.33,76.0,16.42,8,152,160
2220,2011-04-07,2,0,4,8,0,4,1,1,36.0,34.849999999999994,76.0,19.400000000000002,23,291,314
2221,2011-04-07,2,0,4,9,0,4,1,2,40.0,40.910000000000004,66.0,13.43,15,155,170
2222,2011-04-07,2,0,4,10,0,4,1,2,41.0,42.42,67.0,10.45,29,66,95
2223,2011-04-07,2,0,4,11,0,4,1,2,41.0,45.45,55.00000000000001,0.0,36,86,122
2224,2011-04-07,2,0,4,12,0,4,1,2,41.0,45.45,55.00000000000001,0.0,39,114,153
2225,2011-04-07,2,0,4,13,0,4,1,2,41.0,50.0,48.0,8.959999999999999,36,99,135
2226,2011-04-07,2,0,4,14,0,4,1,1,41.0,50.0,43.0,8.959999999999999,46,111,157
2227,2011-04-07,2,0,4,15,0,4,1,1,41.0,50.0,38.0,10.45,27,133,160
2228,2011-04-07,2,0,4,16,0,4,1,1,41.0,50.0,35.0,0.0,52,161,213
2229,2011-04-07,2,0,4,17,0,4,1,1,41.0,50.0,52.0,28.360000000000003,63,280,343
2230,2011-04-07,2,0,4,18,0,4,1,1,41.0,46.97,55.00000000000001,25.369999999999997,68,265,333
2231,2011-04-07,2,0,4,19,0,4,1,1,41.0,45.45,59.0,29.849999999999998,34,192,226
2232,2011-04-07,2,0,4,20,0,4,1,1,41.0,43.94,62.0,16.42,37,166,203
2233,2011-04-07,2,0,4,21,0,4,1,2,41.0,43.94,67.0,28.360000000000003,19,89,108
2234,2011-04-07,2,0,4,22,0,4,1,2,40.0,40.910000000000004,76.0,19.400000000000002,18,63,81
2235,2011-04-07,2,0,4,23,0,4,1,1,38.0,39.39,76.0,25.369999999999997,9,45,54
2236,2011-04-08,2,0,4,0,0,5,1,2,36.0,34.849999999999994,76.0,22.39,4,21,25
2237,2011-04-08,2,0,4,1,0,5,1,2,34.0,33.33,76.0,13.43,3,6,9
2238,2011-04-08,2,0,4,2,0,5,1,3,34.0,33.33,76.0,16.42,3,10,13
2239,2011-04-08,2,0,4,3,0,5,1,3,34.0,33.33,76.0,16.42,0,1,1
2240,2011-04-08,2,0,4,4,0,5,1,2,34.0,33.33,86.0,13.43,0,1,1
2241,2011-04-08,2,0,4,5,0,5,1,2,32.0,31.819999999999997,87.0,19.400000000000002,1,8,9
2242,2011-04-08,2,0,4,6,0,5,1,2,34.0,36.36,87.0,0.0,2,33,35
2243,2011-04-08,2,0,4,7,0,5,1,3,34.0,33.33,87.0,16.42,4,109,113
2244,2011-04-08,2,0,4,8,0,5,1,3,34.0,33.33,87.0,16.42,13,208,221
2245,2011-04-08,2,0,4,9,0,5,1,2,36.0,34.849999999999994,76.0,19.400000000000002,17,168,185
2246,2011-04-08,2,0,4,10,0,5,1,2,36.0,33.33,71.0,28.360000000000003,10,63,73
2247,2011-04-08,2,0,4,11,0,5,1,2,40.0,40.910000000000004,62.0,38.81,19,79,98
2248,2011-04-08,2,0,4,12,0,5,1,3,38.0,39.39,66.0,22.39,29,51,80
2249,2011-04-08,2,0,4,13,0,5,1,3,36.0,33.33,76.0,28.360000000000003,7,35,42
2250,2011-04-08,2,0,4,14,0,5,1,3,34.0,31.819999999999997,87.0,22.39,2,13,15
2251,2011-04-08,2,0,4,15,0,5,1,3,34.0,31.819999999999997,87.0,22.39,1,24,25
2252,2011-04-08,2,0,4,16,0,5,1,2,32.0,30.3,93.0,25.369999999999997,2,58,60
2253,2011-04-08,2,0,4,17,0,5,1,3,32.0,30.3,93.0,25.369999999999997,10,138,148
2254,2011-04-08,2,0,4,18,0,5,1,3,32.0,30.3,93.0,25.369999999999997,8,54,62
2255,2011-04-08,2,0,4,19,0,5,1,3,30.0,27.27,93.0,41.79,1,52,53
2256,2011-04-08,2,0,4,20,0,5,1,2,30.0,27.27,93.0,32.84,12,51,63
2257,2011-04-08,2,0,4,21,0,5,1,2,30.0,28.79,93.0,25.369999999999997,11,43,54
2258,2011-04-08,2,0,4,22,0,5,1,2,30.0,27.27,93.0,29.849999999999998,9,42,51
2259,2011-04-08,2,0,4,23,0,5,1,2,30.0,28.79,93.0,22.39,4,31,35
2260,2011-04-09,2,0,4,0,0,6,0,2,30.0,28.79,87.0,22.39,5,26,31
2261,2011-04-09,2,0,4,1,0,6,0,2,30.0,30.3,87.0,13.43,3,17,20
2262,2011-04-09,2,0,4,2,0,6,0,2,32.0,30.3,87.0,22.39,2,15,17
2263,2011-04-09,2,0,4,3,0,6,0,3,30.0,28.79,100.0,25.369999999999997,3,11,14
2264,2011-04-09,2,0,4,4,0,6,0,3,30.0,27.27,100.0,25.369999999999997,0,3,3
2265,2011-04-09,2,0,4,5,0,6,0,2,30.0,28.79,93.0,22.39,0,5,5
2266,2011-04-09,2,0,4,6,0,6,0,2,30.0,28.79,93.0,19.400000000000002,0,13,13
2267,2011-04-09,2,0,4,7,0,6,0,2,30.0,30.3,93.0,16.42,8,13,21
2268,2011-04-09,2,0,4,8,0,6,0,2,32.0,30.3,93.0,16.42,7,47,54
2269,2011-04-09,2,0,4,9,0,6,0,2,34.0,34.849999999999994,87.0,10.45,27,71,98
2270,2011-04-09,2,0,4,10,0,6,0,2,34.0,33.33,87.0,13.43,43,90,133
2271,2011-04-09,2,0,4,11,0,6,0,2,36.0,36.36,81.0,0.0,51,91,142
2272,2011-04-09,2,0,4,12,0,6,0,2,36.0,34.849999999999994,81.0,13.43,79,123,202
2273,2011-04-09,2,0,4,13,0,6,0,2,36.0,37.88,81.0,0.0,114,108,222
2274,2011-04-09,2,0,4,14,0,6,0,2,36.0,34.849999999999994,81.0,13.43,94,118,212
2275,2011-04-09,2,0,4,15,0,6,0,2,36.0,37.88,87.0,0.0,85,116,201
2276,2011-04-09,2,0,4,16,0,6,0,2,38.0,39.39,82.0,0.0,73,118,191
2277,2011-04-09,2,0,4,17,0,6,0,2,38.0,39.39,82.0,8.959999999999999,128,129,257
2278,2011-04-09,2,0,4,18,0,6,0,2,38.0,39.39,82.0,10.45,48,129,177
2279,2011-04-09,2,0,4,19,0,6,0,2,38.0,39.39,82.0,13.43,47,83,130
2280,2011-04-09,2,0,4,20,0,6,0,2,38.0,39.39,87.0,16.42,19,74,93
2281,2011-04-09,2,0,4,21,0,6,0,2,36.0,34.849999999999994,93.0,13.43,10,65,75
2282,2011-04-09,2,0,4,22,0,6,0,2,36.0,34.849999999999994,93.0,13.43,21,66,87
2283,2011-04-09,2,0,4,23,0,6,0,2,38.0,39.39,87.0,8.959999999999999,12,45,57
2284,2011-04-10,2,0,4,0,0,0,0,2,38.0,39.39,87.0,8.959999999999999,5,48,53
2285,2011-04-10,2,0,4,1,0,0,0,2,38.0,39.39,87.0,13.43,6,31,37
2286,2011-04-10,2,0,4,2,0,0,0,2,38.0,39.39,87.0,8.959999999999999,12,24,36
2287,2011-04-10,2,0,4,3,0,0,0,2,38.0,39.39,87.0,13.43,5,11,16
2288,2011-04-10,2,0,4,4,0,0,0,2,36.0,36.36,93.0,10.45,3,2,5
2289,2011-04-10,2,0,4,5,0,0,0,2,36.0,36.36,93.0,8.959999999999999,0,4,4
2290,2011-04-10,2,0,4,6,0,0,0,2,36.0,36.36,93.0,8.959999999999999,0,4,4
2291,2011-04-10,2,0,4,7,0,0,0,2,36.0,36.36,100.0,8.959999999999999,3,7,10
2292,2011-04-10,2,0,4,8,0,0,0,2,38.0,39.39,94.0,8.959999999999999,17,38,55
2293,2011-04-10,2,0,4,9,0,0,0,2,38.0,39.39,94.0,13.43,31,50,81
2294,2011-04-10,2,0,4,10,0,0,0,2,40.0,40.910000000000004,87.0,0.0,69,81,150
2295,2011-04-10,2,0,4,11,0,0,0,2,40.0,40.910000000000004,87.0,13.43,93,109,202
2296,2011-04-10,2,0,4,12,0,0,0,2,41.0,42.42,88.0,13.43,94,136,230
2297,2011-04-10,2,0,4,13,0,0,0,1,41.0,45.45,82.0,10.45,121,142,263
2298,2011-04-10,2,0,4,14,0,0,0,1,41.0,48.480000000000004,72.0,19.400000000000002,148,133,281
2299,2011-04-10,2,0,4,15,0,0,0,1,41.0,48.480000000000004,77.0,22.39,156,141,297
2300,2011-04-10,2,0,4,16,0,0,0,2,41.0,50.0,72.0,16.42,135,153,288
2301,2011-04-10,2,0,4,17,0,0,0,2,41.0,50.0,72.0,19.400000000000002,84,152,236
2302,2011-04-10,2,0,4,18,0,0,0,1,41.0,48.480000000000004,77.0,19.400000000000002,103,137,240
2303,2011-04-10,2,0,4,19,0,0,0,1,41.0,48.480000000000004,77.0,19.400000000000002,47,84,131
2304,2011-04-10,2,0,4,20,0,0,0,1,41.0,45.45,82.0,13.43,21,71,92
2305,2011-04-10,2,0,4,21,0,0,0,1,41.0,43.94,88.0,19.400000000000002,18,77,95
2306,2011-04-10,2,0,4,22,0,0,0,1,41.0,43.94,94.0,25.369999999999997,12,45,57
2307,2011-04-10,2,0,4,23,0,0,0,1,41.0,45.45,88.0,35.82,5,27,32
2308,2011-04-11,2,0,4,0,0,1,1,1,41.0,46.97,88.0,32.84,7,16,23
2309,2011-04-11,2,0,4,1,0,1,1,1,41.0,45.45,94.0,28.360000000000003,1,3,4
2310,2011-04-11,2,0,4,2,0,1,1,1,41.0,45.45,94.0,28.360000000000003,7,2,9
2311,2011-04-11,2,0,4,4,0,1,1,1,41.0,45.45,94.0,19.400000000000002,0,1,1
2312,2011-04-11,2,0,4,5,0,1,1,1,41.0,45.45,94.0,19.400000000000002,1,12,13
2313,2011-04-11,2,0,4,6,0,1,1,2,41.0,45.45,100.0,22.39,2,59,61
2314,2011-04-11,2,0,4,7,0,1,1,2,41.0,48.480000000000004,88.0,22.39,12,164,176
2315,2011-04-11,2,0,4,8,0,1,1,2,41.0,50.0,88.0,28.360000000000003,28,286,314
2316,2011-04-11,2,0,4,9,0,1,1,2,41.0,50.0,83.0,28.360000000000003,33,132,165
2317,2011-04-11,2,0,4,10,0,1,1,2,41.0,50.0,83.0,29.849999999999998,41,55,96
2318,2011-04-11,2,0,4,11,0,1,1,2,41.0,50.0,73.0,29.849999999999998,45,59,104
2319,2011-04-11,2,0,4,12,0,1,1,2,41.0,50.0,73.0,32.84,37,97,134
2320,2011-04-11,2,0,4,13,0,1,1,2,41.0,50.0,69.0,41.79,62,77,139
2321,2011-04-11,2,0,4,14,0,1,1,2,41.0,50.0,54.0,35.82,60,85,145
2322,2011-04-11,2,0,4,15,0,1,1,1,41.0,50.0,48.0,52.239999999999995,56,85,141
2323,2011-04-11,2,0,4,16,0,1,1,1,41.0,50.0,48.0,52.239999999999995,73,162,235
2324,2011-04-11,2,0,4,17,0,1,1,1,41.0,50.0,48.0,52.239999999999995,100,352,452
2325,2011-04-11,2,0,4,18,0,1,1,1,41.0,50.0,51.0,38.81,93,290,383
2326,2011-04-11,2,0,4,19,0,1,1,1,41.0,50.0,51.0,44.78,73,211,284
2327,2011-04-11,2,0,4,20,0,1,1,1,41.0,50.0,56.99999999999999,52.239999999999995,44,122,166
2328,2011-04-11,2,0,4,21,0,1,1,1,41.0,50.0,61.0,25.369999999999997,39,119,158
2329,2011-04-11,2,0,4,22,0,1,1,2,41.0,50.0,50.0,28.360000000000003,25,66,91
2330,2011-04-11,2,0,4,23,0,1,1,3,41.0,50.0,60.0,0.0,16,38,54
2331,2011-04-12,2,0,4,0,0,2,1,2,41.0,50.0,50.0,10.45,11,13,24
2332,2011-04-12,2,0,4,1,0,2,1,2,41.0,50.0,50.0,8.959999999999999,6,7,13
2333,2011-04-12,2,0,4,2,0,2,1,2,41.0,50.0,53.0,13.43,7,7,14
2334,2011-04-12,2,0,4,3,0,2,1,2,41.0,50.0,56.00000000000001,13.43,0,1,1
2335,2011-04-12,2,0,4,4,0,2,1,2,41.0,50.0,64.0,13.43,4,2,6
2336,2011-04-12,2,0,4,5,0,2,1,2,41.0,50.0,68.0,13.43,1,15,16
2337,2011-04-12,2,0,4,6,0,2,1,2,41.0,50.0,68.0,28.360000000000003,3,55,58
2338,2011-04-12,2,0,4,7,0,2,1,2,41.0,50.0,68.0,22.39,12,177,189
2339,2011-04-12,2,0,4,8,0,2,1,3,41.0,46.97,88.0,38.81,15,211,226
2340,2011-04-12,2,0,4,9,0,2,1,3,41.0,45.45,94.0,49.25,4,50,54
2341,2011-04-12,2,0,4,10,0,2,1,3,41.0,48.480000000000004,82.0,41.79,6,34,40
2342,2011-04-12,2,0,4,11,0,2,1,1,41.0,50.0,77.0,35.82,11,38,49
2343,2011-04-12,2,0,4,12,0,2,1,2,41.0,50.0,64.0,46.27,9,83,92
2344,2011-04-12,2,0,4,13,0,2,1,3,41.0,50.0,68.0,28.360000000000003,22,84,106
2345,2011-04-12,2,0,4,14,0,2,1,2,41.0,48.480000000000004,82.0,28.360000000000003,16,28,44
2346,2011-04-12,2,0,4,15,0,2,1,2,41.0,46.97,77.0,52.239999999999995,24,54,78
2347,2011-04-12,2,0,4,16,0,2,1,2,41.0,46.97,77.0,38.81,19,80,99
2348,2011-04-12,2,0,4,17,0,2,1,3,41.0,43.94,77.0,22.39,29,262,291
2349,2011-04-12,2,0,4,18,0,2,1,3,41.0,43.94,77.0,22.39,21,203,224
2350,2011-04-12,2,0,4,19,0,2,1,2,41.0,42.42,82.0,28.360000000000003,3,127,130
2351,2011-04-12,2,0,4,20,0,2,1,2,41.0,42.42,82.0,28.360000000000003,9,94,103
